Malediven,Land,Malediven,Azië,Land,Indische Oceaan keuken,"Mas huni; Garudhiya","Fihunu mas; Roshi","Mas huni is een ontbijtgerecht met tonijn, kokos en ui. Vis en kokos vormen de basis van de eilandkeuken.","Tonijn; kokos; rijst; chili","Indiaas; Sri Lankaans; Arabisch"
Mongolië,Land,Mongolië,Azië,Land,Nomadische keuken,"Buuz; Khorkhog","Boodog; Tsuivan","De Mongoolse keuken is aangepast aan het nomadische leven. Vlees en zuivelproducten domineren door de veeteelttraditie.","Lam; rund; geit; melk; deeg","Mongools; Tibetaans; Chinees"
Myanmar,Land,Myanmar,Azië,Land,Birmaanse keuken,"Mohinga; Laphet thoke","Shan noodles; Curry","Mohinga is een visnoedelsoep die vaak als nationaal gerecht wordt beschouwd. Fermentatie en theeproducten spelen een grote rol.","Rijst; vis; noedels; thee; chili","Birmaans; Indiaas; Chinees; Thais"
Nepal,Land,Nepal,Azië,Land,Himalayakeuken,"Dal bhat; Momos","Thukpa; Sel roti","Dal bhat bestaat uit rijst, linzensoep en groenten en wordt dagelijks gegeten. Momos zijn dumplings met Tibetaanse invloed.","Rijst; linzen; groenten; kruiden","Nepalees; Tibetaans; Indiaas"
Oman,Land,Oman,Azië,Land,Arabische keuken,"Shuwa; Majboos","Harees; Mashuai","Shuwa is langzaam bereid vlees dat vaak bij feestdagen wordt gegeten. De Omaanse keuken heeft sterke handelsinvloeden uit India en Oost-Afrika.","Lam; rijst; dadels; specerijen","Arabisch; Indiaas; Swahili"
Pakistan,Land,Pakistan,Azië,Land,Zuid-Aziatische keuken,"Biryani; Nihari","Karahi; Haleem","De Pakistaanse keuken combineert Zuid-Aziatische en Perzische invloeden. Biryani is een van de meest geliefde gerechten.","Rijst; vlees; yoghurt; kruiden","Mughal; Perzisch; Indiaas"
Palestina,VN-waarnemersstaat / betwist gebied,Palestijnse gebieden,Azië,Gedeeltelijk erkende staat,Levantijnse keuken,"Musakhan; Maqluba; Knafeh","Falafel; Mansaf","De Palestijnse keuken is diep verbonden met de Levant. Musakhan combineert brood, kip, ui en sumak.","Brood; kip; olijfolie; rijst; kruiden","Levantijns; Arabisch"
Filipijnen,Land,Filipijnen,Azië,Land,Zuidoost-Aziatische keuken,"Adobo; Sinigang; Lechon","Pancit; Kare-kare","Adobo wordt vaak beschouwd als het nationale gerecht van de Filipijnen. Het combineert vlees gestoofd in azijn, soja en kruiden.","Varkensvlees; kip; rijst; azijn; soja","Austronesisch; Spaans; Chinees"
Qatar,Land,Qatar,Azië,Land,Golfkeuken,"Machboos; Thareed","Harees; Balaleet","De Qatarese keuken gebruikt veel rijst, vlees en specerijen. Machboos is een traditioneel feestgerecht.","Rijst; lam; kip; kardemom; saffraan","Arabisch; Golf; Perzisch"
Saoedi-Arabië,Land,Saoedi-Arabië,Azië,Land,Arabische keuken,"Kabsa; Jareesh","Mandi; Mutabbaq","Kabsa is een gekruid rijstgerecht met vlees en wordt vaak gezien als nationaal gerecht. De keuken verschilt sterk per regio.","Rijst; kip; lam; dadels; kruiden","Arabisch; Bedoeïen"
Singapore,Land,Singapore,Azië,Land,Zuidoost-Aziatische keuken,"Hainanese chicken rice; Laksa","Chilli crab; Char kway teow","Singapore heeft geen enkel officieel gerecht maar staat bekend om zijn hawker food cultuur. De keuken combineert Chinese, Maleise, Indiase en Peranakan tradities.","Rijst; kip; kokos; noedels; chili","Chinees; Maleis; Indiaas"
Sri Lanka,Land,Sri Lanka,Azië,Land,Zuid-Aziatische keuken,"Rice and curry; Kottu roti","Hoppers; Lamprais","De Sri Lankaanse keuken gebruikt veel specerijen en kokos. Rice and curry bestaat uit rijst met meerdere kleine curry's.","Rijst; kokos; kaneel; chili; vis","Singalees; Tamil; Indiaas"
Syrië,Land,Syrië,Azië,Land,Levantijnse keuken,"Kibbeh; Fatteh","Shawarma; Muhammara","De Syrische keuken is een klassieke Levantijnse keuken met veel mezze-gerechten. Kibbeh combineert bulgur, vlees en kruiden.","Bulgur; lam; yoghurt; noten","Levantijns; Ottomaans"
Taiwan,Gedeeltelijk erkende staat,Taiwan,Azië,Gedeeltelijk erkende staat,Oost-Aziatische keuken,"Beef noodle soup; Lu rou fan","Xiao long bao; Oyster omelette","De Taiwanese keuken combineert Chinese regionale keukens met Japanse invloeden. Beef noodle soup is een modern nationaal symbool.","Noedels; rund; soja; rijst; zeevruchten","Chinees; Japans; inheems Taiwanees"
Tadzjikistan,Land,Tadzjikistan,Azië,Land,Centraal-Aziatische keuken,"Plov; Qurutob","Sambusa; Mantu","De Tadzjiekse keuken heeft Perzische en Centraal-Aziatische wortels. Plov is een rijstgerecht met vlees en wortel.","Rijst; lam; yoghurt; brood","Perzisch; Turks; Centraal-Aziatisch"
Thailand,Land,Thailand,Azië,Land,Zuidoost-Aziatische keuken,"Pad Thai; Tom yum; Green curry","Som tam; Massaman curry","Thailand heeft een van de bekendste keukens ter wereld. De keuken draait om balans tussen zoet, zuur, zout en pittig.","Rijst; kokos; chili; citroengras; vis","Thai; Chinees; Indiaas"
Oost-Timor,Land,Oost-Timor,Azië,Land,Zuidoost-Aziatische keuken,"Ikan pepes; Batar da'an","Feijoada Timorense","De Oost-Timorese keuken combineert Austronesische en Portugese invloeden. Maïs en vis zijn belangrijke basisproducten.","Maïs; vis; rijst; kokos","Austronesisch; Portugees"
Turkmenistan,Land,Turkmenistan,Azië,Land,Centraal-Aziatische keuken,"Plov; Dograma","Manty; Shashlik","De Turkmenistische keuken is gebaseerd op nomadische tradities. Plov en vleesgerechten spelen een centrale rol.","Lam; rijst; brood; kruiden","Turks; Perzisch; Centraal-Aziatisch"
Verenigde Arabische Emiraten,Land,VAE,Azië,Land,Golfkeuken,"Machboos; Harees","Luqaimat; Shawarma","De Emiratische keuken combineert bedoeïenen-, Perzische en Indiase invloeden. Machboos is een gekruid rijstgerecht.","Rijst; vlees; dadels; vis; kruiden","Arabisch; Perzisch; Indiaas"
Oezbekistan,Land,Oezbekistan,Azië,Land,Centraal-Aziatische keuken,"Plov; Samsa","Lagman; Shashlik","Plov is hét nationale gerecht van Oezbekistan en kent veel regionale varianten. Het wordt gemaakt met rijst, vlees en wortel.","Rijst; lam; wortel; ui","Turks; Perzisch; Russisch"
Vietnam,Land,Vietnam,Azië,Land,Zuidoost-Aziatische keuken,"Phở; Bánh mì","Bún chả; Gỏi cuốn","De Vietnamese keuken staat bekend om verse kruiden en lichte smaken. Phở is een noedelsoep met bouillon, vlees en kruiden.","Rijstnoedels; kruiden; vissaus; rund; groenten","Vietnamees; Chinees; Frans"
Tibet,Culturele regio / autonome regio China,China,Azië,Culturele regio,Himalayakeuken,"Momos; Tsampa; Yakvlees","Thukpa; Butter tea","De Tibetaanse keuken is aangepast aan het leven op grote hoogte. Tsampa, een geroosterd gerstemeel, is een traditioneel basisvoedsel.","Gerst; yakvlees; boter; melk; noedels","Tibetaans; Himalaya; Centraal-Aziatisch"
Xinjiang / Oost-Turkestan,Autonome regio China,China,Azië,Autonome regio,Centraal-Aziatische keuken,"Laghman; Polo; Naan","Kebabs; Samsa","De keuken van Xinjiang combineert Turkse, Oeigoerse en Chinese invloeden. Laghman zijn handgetrokken noedels met vlees en groenten.","Noedels; lam; tarwe; komijn; paprika","Oeigoers; Turks; Chinees"
Hongkong,Speciale bestuurlijke regio China,China,Azië,Autonome regio,Kantonese keuken,"Dim sum; Roast goose","Wonton noodles; Egg tart","De Hongkongse keuken combineert traditionele Kantonese gerechten met Britse koloniale invloeden. Dim sum bestaat uit kleine gestoomde of gefrituurde gerechten.","Rijst; zeevruchten; deeg; thee","Kantonees; Brits; Chinees"
Macau,Speciale bestuurlijke regio China,China,Azië,Autonome regio,Macanese keuken,"Minchi; African chicken","Egg tart; Pork chop bun","De keuken van Macau is ontstaan uit een mix van Portugese en Chinese tradities. African chicken combineert Portugese kruiden met Aziatische smaken.","Kip; aardappel; kokos; kruiden","Kantonees; Portugees; Macanese"
Jammu en Kashmir,Betwiste regio,India/Pakistan,Azië,Betwist gebied,Kashmiri keuken,"Rogan josh; Wazwan","Yakhni; Dum aloo","De Kashmiri keuken staat bekend om uitgebreide feestmaaltijden zoals Wazwan. De keuken combineert Centraal-Aziatische en Perzische invloeden.","Lam; yoghurt; saffraan; kruiden","Perzisch; Centraal-Aziatisch; Indiaas"
Ladakh,Uniegebied India,India,Azië,Regio,Himalayakeuken,"Thukpa; Momos","Skyu; Butter tea","Ladakh deelt veel culinaire tradities met Tibet. De keuken is aangepast aan koude berggebieden.","Gerst; noedels; vlees; boter","Tibetaans; Himalaya"
Azad Kashmir,Door Pakistan bestuurde regio,Pakistan,Azië,Betwist gebied,Kashmiri keuken,"Kashmiri pulao; Rogan josh","Dum aloo; Gushtaba","De keuken van Azad Kashmir combineert Kashmiri en Pakistaanse tradities. Rijke stoofgerechten met kruiden zijn kenmerkend.","Rijst; lam; yoghurt; specerijen","Kashmiri; Pakistaans"
Gilgit-Baltistan,Door Pakistan bestuurde regio,Pakistan,Azië,Regio,Himalayakeuken,"Chapshoro; Mamtu","Thukpa; Balay","De keuken van Gilgit-Baltistan is beïnvloed door Tibetaanse, Centraal-Aziatische en Pakistaanse tradities.","Meel; vlees; groenten; noedels","Tibetaans; Burusho; Centraal-Aziatisch"
Aksai Chin,Betwist gebied,China/India,Azië,Betwist gebied,Himalayakeuken,"Tibetaanse gerechten","Tsampa; Momos","Door de afgelegen ligging bestaat er geen aparte nationale keuken. De voedselcultuur volgt vooral Tibetaanse tradities.","Gerst; yak; deeg; boter","Tibetaans"
West-Papoea,Betwiste regio,Indonesië,Azië/Oceanië,Regio,Melanesische keuken,"Papeda; Ikan kuah kuning","Sago gerechten; gegrilde vis","De keuken van West-Papoea is gebaseerd op traditionele Melanesische ingrediënten. Sago is een belangrijk basisvoedsel.","Sago; vis; kokos; kruiden","Melanesisch; Indonesisch"
Siberië,Culturele regio,Rusland,Azië,Historische regio,Noord-Aziatische keuken,"Stroganina; Pelmeni","Borsjt; Omul vis","De Siberische keuken is aangepast aan extreme kou. Bevroren rauwe vis, pelmeni en wild zijn traditionele gerechten.","Vis; wild; deeg; aardappel","Russisch; Siberisch; inheems"
Tsjetsjenië,Deelrepubliek Rusland,Rusland,Azië/Europa,Regio,Kaukasische keuken,"Zhizhig-galnash","Chechen chudu; Halva","De Tsjetsjeense keuken gebruikt eenvoudige gerechten met vlees en deeg. Zhizhig-galnash bestaat uit vlees met deegballetjes.","Lam; deeg; knoflook; bouillon","Tsjetsjeens; Kaukasisch"
Koerdistan,Culturele regio,Irak/Turkije/Iran/Syrië,Azië,Historische regio,Kurdische keuken,"Dolma; Kebab; Pacha","Kutilk; Nisk","De Koerdische keuken bestaat uit regionale tradities verspreid over meerdere landen. Granen, yoghurt en vlees zijn belangrijk.","Tarwe; vlees; yoghurt; groenten","Koerdisch; Perzisch; Mesopotamisch"
Nagorno-Karabach / Artsakh,Betwist gebied,Azerbeidzjan/Armenië,Azië,Betwist gebied,Kaukasische keuken,"Dolma; Khorovats","Lavash; Plov","De regio heeft Armeense en Azerbeidzjaanse culinaire tradities. Gerechten zoals dolma en gegrild vlees zijn gedeeld cultureel erfgoed.","Druivenbladeren; vlees; rijst; brood","Armeens; Azerbeidzjaans; Kaukasisch"
Nakhchivan,Autonome republiek Azerbeidzjan,Azerbeidzjan,Azië,Autonome regio,Azerbeidzjaanse keuken,"Plov; Dushbara","Kebab; Qutab","Nakhchivan heeft een keuken die sterk verbonden is met Azerbeidzjaanse tradities en regionale producten.","Rijst; lam; kruiden; deeg","Turks; Perzisch; Kaukasisch"
Jeju,Culturele regio Zuid-Korea,Zuid-Korea,Azië,Eilandregio,Koreaanse eilandkeuken,"Heukdwaeji; Seafood","Abalone porridge; Haenyeo seafood","Jeju staat bekend om zeevruchten en gerechten gebaseerd op het vulkanische eilandlandschap.","Zeevruchten; varkensvlees; rijst","Koreaans; eilandcultuur"
Okinawa,Culturele regio Japan,Japan,Azië,Eilandregio,Ryukyu keuken,"Goya champuru; Okinawa soba","Rafute; Taco rice","De Okinawaanse keuken verschilt sterk van de rest van Japan en gebruikt veel tropische ingrediënten.","Varkensvlees; tofu; groenten; noedels","Ryukyu; Japans; Chinees"
Hokkaido,Culturele regio Japan,Japan,Azië,Eilandregio,Noord-Japanse keuken,"Kaisendon; Soup curry","Jingisukan; Zeevruchten","Hokkaido staat bekend om verse zeevruchten en zuivelproducten. De keuken heeft een kouder klimaat als basis.","Vis; schaaldieren; melk; aardappel","Japans; Ainu"
Albanië,Land,Albanië,Europa,Land,Balkan-keuken,"Tavë Kosi; Byrek","Fërgesë; Qofte","De Albanese keuken combineert mediterrane en Balkantradities. Tavë Kosi is een ovenschotel met lamsvlees en yoghurt en geldt als een nationaal symbool.","Lam; yoghurt; rijst; deeg; groenten","Balkan; Ottomaans; Mediterraan"
Andorra,Land,Andorra,Europa,Land,Pyrenese keuken,"Escudella","Trinxat; Canelons","Andorra heeft geen officieel nationaal gerecht, maar Escudella is een traditionele winterse stoofsoep uit de Pyreneeën.","Vlees; aardappel; kool; worst","Catalaans; Frans; Pyrenees"
Oostenrijk,Land,Oostenrijk,Europa,Land,Centraal-Europese keuken,"Wiener Schnitzel; Sachertorte","Tafelspitz; Kaiserschmarrn","De Oostenrijkse keuken is sterk verbonden met het voormalige Habsburgse rijk. Wiener Schnitzel is internationaal het bekendste gerecht.","Kalfsvlees; broodkruim; aardappel; chocolade","Habsburg; Duits; Hongaars; Italiaans"
Belarus,Land,Belarus,Europa,Land,Oost-Europese keuken,"Draniki; Machanka","Kalduny; Babka","De Belarussische keuken gebruikt veel aardappelen, granen en vlees. Draniki zijn aardappelpannenkoeken die als nationaal gerecht gelden.","Aardappel; varkensvlees; rogge; champignons","Slavisch; Russisch; Pools"
België,Land,België,Europa,Land,Belgische keuken,"Mosselen-friet; Stoofvlees; Wafels","Waterzooi; Gentse neuzen","De Belgische keuken combineert Franse verfijning met Vlaamse en Waalse tradities. Mosselen met friet is een van de bekendste nationale gerechten.","Aardappel; mosselen; rundvlees; bier","Frans; Vlaams; Waals"
Bosnië en Herzegovina,Land,Bosnië en Herzegovina,Europa,Land,Balkan-keuken,"Ćevapi; Bosanski lonac","Burek; Begova čorba","De Bosnische keuken is gevormd door Slavische, Ottomaanse en Mediterrane invloeden. Ćevapi zijn kleine gegrilde gehaktrolletjes.","Rundvlees; lam; brood; yoghurt","Balkan; Ottomaans; Slavisch"
Bulgarije,Land,Bulgarije,Europa,Land,Balkan-keuken,"Banitsa; Shopska salade","Kavarma; Tarator","De Bulgaarse keuken gebruikt veel yoghurt, groenten en gegrild vlees. Banitsa is een hartige deegschotel met kaas.","Yoghurt; kaas; deeg; groenten","Balkan; Turks; Slavisch"
Kroatië,Land,Kroatië,Europa,Land,Adriatische keuken,"Peka; Pašticada","Crni rižot; Fritule","De Kroatische keuken verschilt sterk per regio. Aan de kust domineren vis en mediterrane smaken, terwijl het binnenland meer Centraal-Europees is.","Vis; vlees; olijfolie; deeg","Mediterraan; Hongaars; Italiaans"
Tsjechië,Land,Tsjechië,Europa,Land,Midden-Europese keuken,"Svíčková; Vepřo knedlo zelo","Goulash; Koláče","De Tsjechische keuken staat bekend om stevige gerechten met sauzen en deegwaren. Svíčková is rundvlees met roomsaus en knoedels.","Rundvlees; room; brood; aardappel","Boheems; Oostenrijks; Duits"
Denemarken,Land,Denemarken,Europa,Land,Noordse keuken,"Smørrebrød; Stegt flæsk","Frikadeller; Wienerbrød","De Deense keuken draait rond eenvoud, brood en seizoensproducten. Smørrebrød zijn belegde roggebroodjes met uiteenlopende toppings.","Roggebrood; vis; varkensvlees; aardappel","Noords; Germaans"
Estland,Land,Estland,Europa,Land,Baltische keuken,"Verivorst; Karask","Mulgikapsad; Kama","De Estse keuken combineert Noordse en Oost-Europese tradities. Rogge, aardappel en varkensvlees zijn belangrijke ingrediënten.","Rogge; aardappel; varkensvlees; vis","Fins-Oegrisch; Scandinavisch; Slavisch"
Finland,Land,Finland,Europa,Land,Noordse keuken,"Karjalanpiirakka; Lohikeitto","Poronkäristys; Ruisleipä","De Finse keuken gebruikt veel natuurlijke ingrediënten uit bossen en meren. Karjalanpiirakka zijn Karelische pasteitjes met rijstvulling.","Rogge; vis; aardappel; bessen","Fins; Scandinavisch; Russisch"
Frankrijk,Land,Frankrijk,Europa,Land,Franse keuken,"Baguette; Coq au vin; Pot-au-feu","Ratatouille; Crêpes","Frankrijk heeft geen enkel officieel nationaal gerecht door de grote regionale diversiteit. De keuken staat bekend om technieken, sauzen en regionale specialiteiten.","Tarwe; boter; wijn; kaas; vlees","Latijns; Keltisch; Mediterraan"
Duitsland,Land,Duitsland,Europa,Land,Duitse keuken,"Bratwurst; Sauerbraten; Currywurst","Schnitzel; Kartoffelsalat","De Duitse keuken verschilt sterk per regio. Vlees, broodcultuur en aardappelgerechten spelen een centrale rol.","Varkensvlees; aardappel; brood; kool","Germaans; Midden-Europees"
Griekenland,Land,Griekenland,Europa,Land,Mediterrane keuken,"Moussaka; Souvlaki","Tzatziki; Spanakopita","De Griekse keuken is gebaseerd op mediterrane ingrediënten en duizenden jaren geschiedenis. Olijfolie, granen en groenten zijn essentieel.","Olijfolie; feta; lam; aubergine; vis","Oud-Grieks; Mediterraan; Ottomaans"
Hongarije,Land,Hongarije,Europa,Land,Midden-Europese keuken,"Goulash; Lángos","Paprikash; Dobos taart","De Hongaarse keuken staat bekend om paprika en rijke stoofgerechten. Goulash is wereldwijd het bekendste Hongaarse gerecht.","Paprika; rundvlees; ui; aardappel","Magyaars; Ottomaans; Oostenrijks"
IJsland,Land,IJsland,Europa,Land,Noordse keuken,"Kjötsúpa; Hákarl","Plokkfiskur; Skyr","De IJslandse keuken is gevormd door een geïsoleerd eilandklimaat. Vis, lam en zuivel zijn traditioneel belangrijk.","Lam; vis; aardappel; zuivel","Noords; Viking"
Ierland,Land,Ierland,Europa,Land,Keltische keuken,"Irish stew; Soda bread","Boxty; Colcannon","De Ierse keuken draait rond eenvoudige, voedzame gerechten. Irish stew combineert lam, aardappel en groenten.","Lam; aardappel; kool; brood","Keltisch; Brits"
Italië,Land,Italië,Europa,Land,Mediterrane keuken,"Pizza; Pasta; Risotto","Lasagne; Gelato","De Italiaanse keuken bestaat uit honderden regionale tradities. Pizza en pasta zijn wereldwijd bekende symbolen van Italië.","Tarwe; tomaat; olijfolie; kaas; wijn","Romeins; Mediterraan; regionaal"
Letland,Land,Letland,Europa,Land,Baltische keuken,"Grijze erwten met spek; Rupjmaize","Sklandrausis; Karbonāde","De Letse keuken gebruikt veel producten uit bossen, zee en landbouw. Grijze erwten met spek worden vaak gezien als een nationaal symbool.","Erwten; spek; rogge; aardappel; vis","Baltisch; Scandinavisch; Slavisch"
Litouwen,Land,Litouwen,Europa,Land,Baltische keuken,"Cepelinai; Šaltibarščiai","Kugelis; Kibinai","Cepelinai zijn grote aardappelknoedels gevuld met vlees of kaas. De Litouwse keuken gebruikt veel aardappel, zuivel en granen.","Aardappel; varkensvlees; zure room; rogge","Baltisch; Pools; Slavisch"
Luxemburg,Land,Luxemburg,Europa,Land,Midden-Europese keuken,"Judd mat Gaardebounen","Gromperekichelcher; Bouneschlupp","De Luxemburgse keuken combineert Franse, Duitse en Belgische invloeden. Judd mat Gaardebounen is gerookt varkensvlees met tuinbonen.","Varkensvlees; bonen; aardappel; room","Frans; Duits; Luxemburgs"
Malta,Land,Malta,Europa,Land,Mediterrane keuken,"Fenek; Pastizzi","Aljotta; Ftira","De Maltese keuken weerspiegelt de ligging tussen Europa en Noord-Afrika. Fenek is konijn gestoofd met wijn en kruiden.","Konijn; deeg; vis; olijfolie","Italiaans; Arabisch; Brits; Mediterraan"
Moldavië,Land,Moldavië,Europa,Land,Oost-Europese keuken,"Mămăligă; Sarmale","Plăcintă; Zeamă","De Moldavische keuken combineert Roemeense, Slavische en Balkantradities. Mămăligă is een maïsmeelgerecht dat vaak met kaas en vlees wordt gegeten.","Maïs; kaas; kool; varkensvlees","Roemeens; Slavisch; Balkan"
Monaco,Land,Monaco,Europa,Land,Ligurische keuken,"Barbagiuà","Stocafi; Socca","De keuken van Monaco is klein maar sterk verbonden met de Franse en Ligurische kustkeuken.","Groenten; vis; deeg; olijfolie","Frans; Italiaans; Mediterraan"
Montenegro,Land,Montenegro,Europa,Land,Balkan-keuken,"Kačamak; Njeguški pršut","Buzara; Ćevapi","De Montenegrijnse keuken combineert bergtradities met mediterrane invloeden. Gedroogde ham en stevige maïsgerechten zijn belangrijk.","Maïs; kaas; vlees; vis","Balkan; Mediterraan; Ottomaans"
Nederland,Land,Nederland,Europa,Land,Nederlandse keuken,"Stamppot; Haring; Erwtensoep","Bitterballen; Poffertjes","De Nederlandse keuken is historisch eenvoudig en gebaseerd op landbouw, visserij en zuivel. Stamppot combineert aardappel met groenten en vaak vlees.","Aardappel; kool; haring; zuivel","Germaans; Noord-Europees; koloniaal"
Noord-Macedonië,Land,Noord-Macedonië,Europa,Land,Balkan-keuken,"Tavče gravče; Ajvar","Burek; Pastrmajlija","De Macedonische keuken combineert Balkan- en Mediterrane tradities. Tavče gravče is een gebakken bonengerecht.","Bonen; paprika; vlees; yoghurt","Balkan; Ottomaans; Mediterraan"
Noorwegen,Land,Noorwegen,Europa,Land,Noordse keuken,"Fårikål; Kjøttkaker","Lapskaus; Gravlaks","De Noorse keuken is gevormd door bergen, zee en koude winters. Vis en lam spelen een grote rol.","Lam; vis; aardappel; rogge","Noords; Viking"
Polen,Land,Polen,Europa,Land,Poolse keuken,"Pierogi; Bigos; Żurek","Gołąbki; Kielbasa","De Poolse keuken staat bekend om stevige gerechten met deeg, kool en vlees. Pierogi zijn gevulde deegkussentjes met veel regionale varianten.","Aardappel; kool; meel; vlees; paddenstoelen","Slavisch; Joods; Oost-Europees"
Portugal,Land,Portugal,Europa,Land,Atlantische keuken,"Bacalhau; Pastéis de nata","Caldo verde; Francesinha","De Portugese keuken combineert Atlantische producten met koloniale invloeden. Bacalhau, gezouten kabeljauw, heeft honderden varianten.","Vis; aardappel; olijfolie; wijn","Iberisch; Atlantisch; Portugees koloniaal"
Roemenië,Land,Roemenië,Europa,Land,Balkan/Oost-Europese keuken,"Sarmale; Mămăligă","Ciorbă; Mititei","De Roemeense keuken combineert Balkan-, Turkse en Oost-Europese tradities. Sarmale zijn gevulde koolbladeren met vlees en rijst.","Kool; varkensvlees; maïs; zure room","Roemeens; Balkan; Ottomaans"
Rusland,Land,Rusland,Europa/Azië,Land,Russische keuken,"Borsjt; Pelmeni; Blini","Beef Stroganoff; Olivier salade","Rusland heeft enorme regionale verschillen en geen enkel officieel nationaal gerecht. Borsjt is een van de bekendste gerechten uit de Russische eetcultuur.","Biet; aardappel; kool; deeg; vlees","Slavisch; Kaukasisch; Centraal-Aziatisch"
San Marino,Land,San Marino,Europa,Land,Italiaanse keuken,"Torta Tre Monti; Pasta","Piadina; Passatelli","De keuken van San Marino lijkt sterk op de Emilia-Romagna regio van Italië. Pasta en zoete amandelgerechten zijn belangrijk.","Tarwe; kaas; amandel; vlees","Italiaans; Mediterraan"
Servië,Land,Servië,Europa,Land,Balkan-keuken,"Ćevapi; Pljeskavica","Sarma; Karađorđeva šnicla","De Servische keuken combineert Slavische en Ottomaanse invloeden. Gegrild vlees en paprika zijn zeer belangrijk.","Vlees; paprika; brood; zuivel","Balkan; Slavisch; Ottomaans"
Slowakije,Land,Slowakije,Europa,Land,Midden-Europese keuken,"Bryndzové halušky","Kapustnica; Lokše","Bryndzové halušky zijn aardappelknoedels met schapenkaas en spek. Het gerecht wordt gezien als nationaal symbool.","Aardappel; schapenkaas; spek","Slavisch; Hongaars; Oostenrijks"
Slovenië,Land,Slovenië,Europa,Land,Alpen/Mediterrane keuken,"Potica; Kranjska klobasa","Jota; Štruklji","De Sloveense keuken heeft invloeden uit de Alpen, Balkan en Adriatische kust. Potica is een gevulde feestelijke rolcake.","Noten; deeg; worst; kool","Alpen; Balkan; Italiaans"
Spanje,Land,Spanje,Europa,Land,Iberische keuken,"Paella; Tortilla española","Jamón; Gazpacho","Spanje heeft geen enkel nationaal gerecht door de sterke regionale identiteit. Paella uit Valencia is internationaal het bekendste Spaanse gerecht.","Rijst; olijfolie; zeevruchten; tomaat","Romeins; Arabisch; Mediterraan"
Zweden,Land,Zweden,Europa,Land,Noordse keuken,"Köttbullar; Gravlax","Kanelbullar; Janssons frestelse","De Zweedse keuken draait rond eenvoud, conservering en seizoensproducten. Köttbullar zijn wereldberoemde Zweedse gehaktballetjes.","Vlees; aardappel; vis; kaneel","Noords; Germaans"
Zwitserland,Land,Zwitserland,Europa,Land,Alpenkeuken,"Fondue; Raclette","Rösti; Zürcher Geschnetzeltes","De Zwitserse keuken verschilt per kanton. Kaasgerechten zoals fondue en raclette zijn internationale symbolen.","Kaas; aardappel; vlees; brood","Frans; Duits; Italiaans"
Oekraïne,Land,Oekraïne,Europa,Land,Oost-Europese keuken,"Borsjt; Varenyky","Holubtsi; Deruny","De Oekraïense keuken is gebaseerd op granen, groenten en rijke soepen. Borsjt is cultureel sterk verbonden met Oekraïne.","Biet; kool; aardappel; deeg","Slavisch; Oost-Europees"
Verenigd Koninkrijk,Land,Verenigd Koninkrijk,Europa,Land,Britse keuken,"Fish and chips; Sunday roast","Full English breakfast; Shepherd's pie","De Britse keuken heeft een lange geschiedenis en regionale verschillen. Fish and chips is een van de bekendste moderne symbolen.","Vis; aardappel; vlees; brood","Keltisch; Germaans; koloniaal"
Vaticaanstad,Microstaat,Heilige Stoel,Europa,Microstaat,Italiaanse keuken,"Pasta; Romeinse gerechten","Pizza; Supplì","Vaticaanstad heeft geen aparte nationale keuken en volgt grotendeels de Romeinse keuken.","Pasta; tomaat; kaas; olijfolie","Italiaans; Romeins"
Kosovo,Gedeeltelijk erkende staat,Servië/Kosovo,Europa,Gedeeltelijk erkende staat,Balkan-keuken,"Flija; Tavë Kosi","Burek; Qebapa","De Kosovaarse keuken combineert Albanese, Balkan- en Ottomaanse invloeden. Flija is een traditioneel laagjesgerecht dat langzaam wordt gebakken.","Meel; yoghurt; boter; vlees","Albanees; Ottomaans; Balkan"
Transnistrië,Betwist gebied,Moldavië/Oekraïne,Europa,Betwist gebied,Oost-Europese keuken,"Borsjt; Placinte","Pelmeni; Mămăligă","De keuken van Transnistrië volgt vooral Moldavische, Oekraïense en Russische tradities. Er bestaat geen aparte nationale keuken.","Biet; deeg; kool; vlees","Moldavisch; Russisch; Oekraïens"
Noord-Cyprus,Door Turkije erkende staat,Turkije/Cyprus,Europa/Azië,Betwist gebied,Cypriotisch-Turkse keuken,"Şeftali kebabı; Halloumi","Meze; Kleftiko","De keuken van Noord-Cyprus combineert Turkse en Cypriotische tradities. Gegrild vlees, kaas en kleine gerechten zijn belangrijk.","Lam; kaas; olijfolie; groenten","Turks; Cypriotisch; Mediterraan"
Åland,Autonome regio Finland,Finland,Europa,Autonome regio,Noordse eilandkeuken,"Åland pancake; Visgerechten","Zwarte broodsoorten; Zeevruchten","Åland heeft een eigen Zweedstalige cultuur en keuken. Vis en traditionele pannenkoeken zijn belangrijke specialiteiten.","Vis; melk; tarwe; aardappel","Zweeds; Fins; Scandinavisch"
Baskenland,Culturele regio Spanje/Frankrijk,Spanje/Frankrijk,Europa,Culturele regio,Baskische keuken,"Pintxos; Bacalao al pil pil","Txangurro; Marmitako","De Baskische keuken is wereldwijd bekend om hoogwaardige ingrediënten en kleine gerechten. Pintxos zijn kleine hapjes vergelijkbaar met tapas.","Vis; zeevruchten; paprika; vlees","Baskisch; Spaans; Frans"
